numero_de_ordem,anomes,cod_ncm,pais_de_origem,descricao_do_produto,peso_liquido,vmle_dolar
OP-1000083,2024-07,84137090,ESTADOS UNIDOS,BOMBA CENTRIFUGA MULTIESTAGIO VERTICAL POTENCIA 7.5 HP 220/380V VAZAO 12 M3/H PRESSAO 8.5 BAR ROTOR INOX LOTE 576/23 EMBALAGEM PADRAO PALETIZADA,46.195,1671.16
OP-1000401,2023-03,87089990,ALEMANHA,BARRA ESTABILIZADORA DA SUSPENSAO DIANTEIRA FORJADA EM ACO LIGA DE ALTA RESISTENCIA DIAMETRO 24MM LOTE 108/22,9.477,41.43
OP-1000379,2023-10,87083090,INDIA,PASTILHA DE FREIO A DISCO DIANTEIRO ISENTA DE AMIANTO COMPATIVEL COM PICK-UP REF FP-882 JOGO C/ 4 PECAS,2.451,26.07
OP-1000193,2024-09,30022029,MEXICO,VACINA PARA USO VETERINARIO INATIVADA CONTRA CLOSTRIDIOSE EM FRASCO AMPOLA CONTENDO 50 DOSES 100ML LOTE 739/23 EMBALAGEM PADRAO PALETIZADA,0.198,11.06
OP-1000101,2024-03,85423190,FRANCA,CIRCUITO INTEGRADO MICROCONTROLADOR SMD 32 BITS NUCLEO ARM CORTEX-M4 FLASH 512KB ENCAPSULAMENTO LQFP-64 EMBALAGEM PADRAO PALETIZADA,0.001,3.42
OP-1000263,2023-05,38089199,ARGENTINA,INSETICIDA AGRICOLA FORMULACAO SUSPENSAO CONCENTRADA A BASE DE TIAMETOXAM 350 G/L GL COM 5 LITROS EMBALAGEM PADRAO PALETIZADA,8.817,88.25
OP-1000354,2024-01,18063210,JAPAO,CHOCOLATE EM TABLETES CONTENDO CACAU RECHEADO EM EMBALAGENS DE 100G PARA CONSUMO DIRETO EMBALAGEM PADRAO PALETIZADA,546.06,1899.96
OP-1000445,2024-10,85432000,JAPAO,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A GERADORES DE SINAIS,413.367,6983.94
OP-1000093,2023-07,85423190,INDIA,CIRCUITO INTEGRADO MICROCONTROLADOR SMD 32 BITS NUCLEO ARM CORTEX-M4 FLASH 512KB ENCAPSULAMENTO LQFP-64 EMBALAGEM PADRAO PALETIZADA,0.003,4.22
OP-1000387,2023-09,87083090,CHINA,PASTILHA DE FREIO A DISCO DIANTEIRO ISENTA DE AMIANTO COMPATIVEL COM PICK-UP REF FP-882 JOGO C/ 4 PECAS LOTE 229/22,3.66,29.15
OP-1000004,2023-06,84818099,CHINA,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL LOTE 448/23,19.549,460.17
OP-1000066,2024-04,84822010,COREIA DO SUL,ROLAMENTO DE ROLOS CONICOS SERIE METRICA REF 32210 DIMENSAO 50X90X24.75 MM APLICACAO TRANSMISSAO AUTOMOTIVA,0.905,16.93
OP-1000061,2024-10,84821010,COREIA DO SUL,ROLAMENTO DE ESFERAS RADIAL DE UMA CARREIRA REF 6205-2RS DIMENSAO 25X52X15 MM FOLGA C3 PARA MOTOR ELETRICO LOTE 278/23,0.117,7.63
OP-1000276,2023-10,31021010,JAPAO,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG EMBALAGEM PADRAO PALETIZADA,86353.521,32087.13
OP-1000161,2023-09,85365090,INDIA,INTERRUPTOR SECCIONADOR ROTATIVO TRIPOLAR 63A 690V FIXACAO FRONTAL IP65 COM MANOPLA TRAVAVEL LOTE 212/21,0.624,45.3
OP-1000037,2023-04,84818099,COREIA DO SUL,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT LOTE 683/22 EMBALAGEM PADRAO PALETIZADA,0.93,66.71
OP-1000271,2024-05,31021010,COREIA DO SUL,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG LOTE 582/21 EMBALAGEM PADRAO PALETIZADA,43328.719,30080.82
OP-1000075,2023-12,84137090,CHINA,BOMBA CENTRIFUGA MULTIESTAGIO VERTICAL POTENCIA 7.5 HP 220/380V VAZAO 12 M3/H PRESSAO 8.5 BAR ROTOR INOX,74.023,1556.32
OP-1000157,2023-02,85365090,ARGENTINA,INTERRUPTOR SECCIONADOR ROTATIVO TRIPOLAR 63A 690V FIXACAO FRONTAL IP65 COM MANOPLA TRAVAVEL,0.455,45.06
OP-1000224,2024-12,39012010,MEXICO,RESINA POLIETILENO DE ALTA DENSIDADE (PEAD) VIRGEM EM PELETS GRAU SOPRO INDICE FLUIDEZ 0.3 G/10MIN DENSIDADE 0.954 LOTE 236/21,37655.878,40125.58
OP-1000013,2023-05,84818099,FRANCA,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL,16.46,488.76
OP-1000362,2023-08,87082999,MEXICO,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 LOTE 500/24 EMBALAGEM PADRAO PALETIZADA,19.476,134.67
OP-1000218,2023-07,39012010,JAPAO,RESINA POLIETILENO DE ALTA DENSIDADE (PEAD) VIRGEM EM PELETS GRAU SOPRO INDICE FLUIDEZ 0.3 G/10MIN DENSIDADE 0.954 LOTE 661/24,17644.408,25541.93
OP-1000348,2023-08,18063210,INDIA,CHOCOLATE EM TABLETES CONTENDO CACAU RECHEADO EM EMBALAGENS DE 100G PARA CONSUMO DIRETO LOTE 273/24,544.98,2527.32
OP-1000009,2023-07,84818099,ARGENTINA,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL LOTE 818/21 EMBALAGEM PADRAO PALETIZADA,23.454,284.24
OP-1000115,2024-04,85423919,ESTADOS UNIDOS,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V,0.001,0.99
OP-1000377,2024-06,87082999,COREIA DO SUL,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 LOTE 606/24 EMBALAGEM PADRAO PALETIZADA,15.783,100.74
OP-1000094,2024-09,85423190,FRANCA,CIRCUITO INTEGRADO MICROCONTROLADOR SMD 32 BITS NUCLEO ARM CORTEX-M4 FLASH 512KB ENCAPSULAMENTO LQFP-64 LOTE 558/21,0.002,4.81
OP-1000319,2024-06,22042100,ITALIA,VINHO FINO TINTO SECO ELABORADO COM UVAS CABERNET SAUVIGNON SAFRA 2022 TEOR ALCOLICO 13.5% VOL GARRAFAS 750ML,1326.731,3913.69
OP-1000123,2024-02,85423919,JAPAO,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V LOTE 583/22,0.001,1.01
OP-1000241,2023-10,39233090,JAPAO,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 828/22 EMBALAGEM PADRAO PALETIZADA,1776.593,5843.99
OP-1000228,2023-02,39012010,ARGENTINA,RESINA POLIETILENO DE ALTA DENSIDADE (PEAD) VIRGEM EM PELETS GRAU SOPRO INDICE FLUIDEZ 0.3 G/10MIN DENSIDADE 0.954 LOTE 439/23,38215.5,28513.68
OP-1000288,2023-10,52083200,ARGENTINA,TECIDO DE ALGODAO 100% TINTO EM LONA LIGAMENTO TELA LARGURA 1.60 M GRAMATURA 280 G/M2 DESTINADO A CONFECCAO LOTE 875/22,442.346,2134.43
OP-1000111,2024-03,85423919,FRANCA,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V,0.002,1.0
OP-1000466,2023-09,84483219,CHINA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A OUTRAS PARTES E ACESSÓRIOS DE CARDAS,404.518,4743.26
OP-1000303,2023-05,62034200,INDIA,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS LOTE 456/21,144.283,1229.69
OP-1000257,2024-04,38089199,JAPAO,INSETICIDA AGRICOLA FORMULACAO SUSPENSAO CONCENTRADA A BASE DE TIAMETOXAM 350 G/L GL COM 5 LITROS EMBALAGEM PADRAO PALETIZADA,7.091,99.79
OP-1000126,2024-03,85423919,ALEMANHA,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V LOTE 453/23 EMBALAGEM PADRAO PALETIZADA,0.001,1.11
OP-1000473,2024-04,84335990,INDIA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A OUTRAS MÁQUINAS E APARELHOS PARA COLHEITA,155.217,4929.84
OP-1000248,2024-08,39233090,JAPAO,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 614/22 EMBALAGEM PADRAO PALETIZADA,1567.111,4110.69
OP-1000038,2024-07,84818099,MEXICO,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT LOTE 367/22 EMBALAGEM PADRAO PALETIZADA,0.892,36.89
OP-1000205,2023-03,30042099,INDIA,ANTIBIOTICO CEFTIOFUR SODICO ESTERIL PO PARA SUSPENSAO INJETAVEL USO VETERINARIO FRASCO 4G LOTE 533/23,0.097,19.57
OP-1000072,2023-08,84822010,JAPAO,ROLAMENTO DE ROLOS CONICOS SERIE METRICA REF 32210 DIMENSAO 50X90X24.75 MM APLICACAO TRANSMISSAO AUTOMOTIVA,0.651,15.09
OP-1000250,2023-09,39233090,MEXICO,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 885/24 EMBALAGEM PADRAO PALETIZADA,877.453,3785.48
OP-1000368,2024-01,87082999,ITALIA,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 LOTE 290/24,16.843,172.12
OP-1000040,2024-07,84818099,MEXICO,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT LOTE 175/22 EMBALAGEM PADRAO PALETIZADA,2.075,34.11
OP-1000444,2024-03,05119910,JAPAO,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A EMBRIÕES DE ANIMAIS,426.389,949.69
OP-1000358,2024-06,87082999,COREIA DO SUL,PAINEL LATERAL EXTERNO ESTAMPADO EM CHAPA DE ACO GALVANIZADO PARA CARROCERIA DE VEICULO AUTOMOTOR COD PECA 517823 EMBALAGEM PADRAO PALETIZADA,16.484,168.85
OP-1000481,2024-04,28164090,ARGENTINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A ÓXIDOS, HIDRÓXIDOS, PERÓXIDOS DE ESTRÔNCIO, ETC.",87.927,9688.99
OP-1000080,2024-01,84137090,ARGENTINA,BOMBA CENTRIFUGA MULTIESTAGIO VERTICAL POTENCIA 7.5 HP 220/380V VAZAO 12 M3/H PRESSAO 8.5 BAR ROTOR INOX EMBALAGEM PADRAO PALETIZADA,50.884,1647.92
OP-1000236,2023-12,39233090,FRANCA,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 EMBALAGEM PADRAO PALETIZADA,1588.763,6068.79
OP-1000152,2024-11,85365090,FRANCA,INTERRUPTOR SECCIONADOR ROTATIVO TRIPOLAR 63A 690V FIXACAO FRONTAL IP65 COM MANOPLA TRAVAVEL,0.33,22.91
OP-1000261,2023-03,38089199,JAPAO,INSETICIDA AGRICOLA FORMULACAO SUSPENSAO CONCENTRADA A BASE DE TIAMETOXAM 350 G/L GL COM 5 LITROS,7.381,89.94
OP-1000469,2023-02,61169900,ITALIA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A LUVAS, MITENES E SEMELHANTES, DE MALHA, DE OUTRAS MATÉRIAS TÊXTEIS",288.27,9827.51
OP-1000210,2024-12,30042099,JAPAO,ANTIBIOTICO CEFTIOFUR SODICO ESTERIL PO PARA SUSPENSAO INJETAVEL USO VETERINARIO FRASCO 4G LOTE 339/22,0.058,16.01
OP-1000048,2023-10,84821010,CHINA,ROLAMENTO DE ESFERAS RADIAL DE UMA CARREIRA REF 6205-2RS DIMENSAO 25X52X15 MM FOLGA C3 PARA MOTOR ELETRICO EMBALAGEM PADRAO PALETIZADA,0.167,6.47
OP-1000256,2024-07,38089199,ARGENTINA,INSETICIDA AGRICOLA FORMULACAO SUSPENSAO CONCENTRADA A BASE DE TIAMETOXAM 350 G/L GL COM 5 LITROS LOTE 294/22,9.25,75.29
OP-1000253,2023-11,39233090,ALEMANHA,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 426/23 EMBALAGEM PADRAO PALETIZADA,1453.064,4987.99
OP-1000005,2024-01,84818099,ESTADOS UNIDOS,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL EMBALAGEM PADRAO PALETIZADA,25.418,331.55
OP-1000098,2024-08,85423190,INDIA,CIRCUITO INTEGRADO MICROCONTROLADOR SMD 32 BITS NUCLEO ARM CORTEX-M4 FLASH 512KB ENCAPSULAMENTO LQFP-64,0.002,4.71
OP-1000129,2023-05,85044021,CHINA,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN LOTE 704/23 EMBALAGEM PADRAO PALETIZADA,1.334,49.18
OP-1000280,2024-10,31021010,CHINA,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG LOTE 331/22,75749.004,21451.27
OP-1000139,2024-09,85044021,JAPAO,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN LOTE 806/23,1.305,66.76
OP-1000353,2024-01,18063210,ALEMANHA,CHOCOLATE EM TABLETES CONTENDO CACAU RECHEADO EM EMBALAGENS DE 100G PARA CONSUMO DIRETO LOTE 398/24 EMBALAGEM PADRAO PALETIZADA,512.688,2140.74
OP-1000355,2024-10,18063210,ALEMANHA,CHOCOLATE EM TABLETES CONTENDO CACAU RECHEADO EM EMBALAGENS DE 100G PARA CONSUMO DIRETO LOTE 127/24 EMBALAGEM PADRAO PALETIZADA,321.923,2955.7
OP-1000107,2024-04,85423190,MEXICO,CIRCUITO INTEGRADO MICROCONTROLADOR SMD 32 BITS NUCLEO ARM CORTEX-M4 FLASH 512KB ENCAPSULAMENTO LQFP-64,0.002,3.79
OP-1000220,2023-01,39012010,INDIA,RESINA POLIETILENO DE ALTA DENSIDADE (PEAD) VIRGEM EM PELETS GRAU SOPRO INDICE FLUIDEZ 0.3 G/10MIN DENSIDADE 0.954 LOTE 688/22 EMBALAGEM PADRAO PALETIZADA,40508.912,36714.21
OP-1000281,2024-10,31021010,ESTADOS UNIDOS,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG LOTE 105/22,57731.575,30594.47
OP-1000477,2023-02,10039090,CHINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A OUTRAS CEVADAS, EXCETO EM GRÃO",74.708,7061.73
OP-1000012,2024-07,84818099,ITALIA,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL LOTE 422/22 EMBALAGEM PADRAO PALETIZADA,15.181,312.83
OP-1000272,2024-05,31021010,FRANCA,UREIA AGRICOLA FERTILIZANTE GRANULADA COM TEOR MINIMO DE 46% DE NITROGENIO TOTAL EMBALAGEM BIG BAG DE 1000 KG EMBALAGEM PADRAO PALETIZADA,63527.577,27601.96
OP-1000021,2023-10,84818099,ARGENTINA,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL,17.943,270.43
OP-1000337,2023-01,09011110,ARGENTINA,CAFE CRU EM GRAO NAO DESCAFEINADO TIPO ARABICA SAFRA RECENTE SACAS DE JUTA DE 60 KG LOTE 701/22 EMBALAGEM PADRAO PALETIZADA,23757.495,42010.19
OP-1000391,2024-09,87083090,FRANCA,PASTILHA DE FREIO A DISCO DIANTEIRO ISENTA DE AMIANTO COMPATIVEL COM PICK-UP REF FP-882 JOGO C/ 4 PECAS LOTE 466/21 EMBALAGEM PADRAO PALETIZADA,3.917,21.97
OP-1000349,2023-03,18063210,ALEMANHA,CHOCOLATE EM TABLETES CONTENDO CACAU RECHEADO EM EMBALAGENS DE 100G PARA CONSUMO DIRETO,348.534,1809.57
OP-1000247,2023-10,39233090,INDIA,FRASCOS DE POLIETILENO TEREFTALATO (PET) CAPACIDADE 500 ML CRISTAL TRANSPARENTE COM GARGALO 28MM PCO 1881 LOTE 356/22 EMBALAGEM PADRAO PALETIZADA,2073.854,4519.92
OP-1000460,2024-06,29221989,FRANCA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A OUTROS AMINOÁLCOOIS, EXCETO OS QUE CONTENHAM MAIS DE UM TIPO DE FUNÇÃO OXIGENADA, SEUS ÉTERES E SEUS ÉSTERES; SAIS DESTES PRODUTOS",31.429,2833.77
OP-1000001,2023-08,84818099,ITALIA,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL,11.926,441.7
OP-1000008,2023-08,84818099,ESTADOS UNIDOS,VALVULA DE CONTROLE PNEUMATICA MODELO VCP-40 DN 50 CORPO EM ACO INOX AISI 316 PRESSAO 150 LBS APLICACAO INDUSTRIAL LOTE 489/23,13.785,318.71
OP-1000178,2023-05,30049099,ALEMANHA,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES LOTE 510/21,0.137,12.89
OP-1000443,2024-06,56031240,ARGENTINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A FALSOS TECIDOS DE POLIPROPILENO, DE PESO SUPERIOR A 25 G/M2, MAS NÃO SUPERIOR A 70 G/M2",482.353,2115.98
OP-1000498,2024-11,30049073,CHINA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A MEDICAMENTO CONTENDO KETAZOLAM/SULPIRIDA, ETC, EM DOSES",216.23,6553.67
OP-1000081,2023-01,84137090,FRANCA,BOMBA CENTRIFUGA MULTIESTAGIO VERTICAL POTENCIA 7.5 HP 220/380V VAZAO 12 M3/H PRESSAO 8.5 BAR ROTOR INOX LOTE 153/23,55.859,2116.53
OP-1000043,2023-04,84821010,JAPAO,ROLAMENTO DE ESFERAS RADIAL DE UMA CARREIRA REF 6205-2RS DIMENSAO 25X52X15 MM FOLGA C3 PARA MOTOR ELETRICO LOTE 860/22,0.104,8.68
OP-1000063,2024-10,84822010,ALEMANHA,ROLAMENTO DE ROLOS CONICOS SERIE METRICA REF 32210 DIMENSAO 50X90X24.75 MM APLICACAO TRANSMISSAO AUTOMOTIVA EMBALAGEM PADRAO PALETIZADA,0.608,21.32
OP-1000325,2024-12,22042100,ALEMANHA,VINHO FINO TINTO SECO ELABORADO COM UVAS CABERNET SAUVIGNON SAFRA 2022 TEOR ALCOLICO 13.5% VOL GARRAFAS 750ML LOTE 288/21 EMBALAGEM PADRAO PALETIZADA,1355.445,3777.66
OP-1000390,2024-03,87083090,ARGENTINA,PASTILHA DE FREIO A DISCO DIANTEIRO ISENTA DE AMIANTO COMPATIVEL COM PICK-UP REF FP-882 JOGO C/ 4 PECAS LOTE 435/21 EMBALAGEM PADRAO PALETIZADA,3.659,35.52
OP-1000024,2024-03,84818099,ARGENTINA,VALVULA DE RETENCAO DE FLUXO REF VRET-12 EM BRONZE CONEXAO ROSCADA 1/2 POLEGADA NPT LOTE 562/21,1.367,59.44
OP-1000159,2023-07,85365090,MEXICO,INTERRUPTOR SECCIONADOR ROTATIVO TRIPOLAR 63A 690V FIXACAO FRONTAL IP65 COM MANOPLA TRAVAVEL EMBALAGEM PADRAO PALETIZADA,0.373,45.33
OP-1000389,2024-09,87083090,ESTADOS UNIDOS,PASTILHA DE FREIO A DISCO DIANTEIRO ISENTA DE AMIANTO COMPATIVEL COM PICK-UP REF FP-882 JOGO C/ 4 PECAS LOTE 887/21,3.337,28.33
OP-1000306,2024-10,62034200,CHINA,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS LOTE 884/21,141.332,1610.77
OP-1000059,2024-08,84821010,ARGENTINA,ROLAMENTO DE ESFERAS RADIAL DE UMA CARREIRA REF 6205-2RS DIMENSAO 25X52X15 MM FOLGA C3 PARA MOTOR ELETRICO EMBALAGEM PADRAO PALETIZADA,0.099,7.62
OP-1000493,2023-04,29183020,FRANCA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A BUTIRILACETATO DE METILA,394.576,5801.65
